,precision,recall,f1-score,support
0,0.9993418146081092,0.9957461717791962,0.9975407530740587,222623.0
1,0.9915530897673754,0.9986883596410059,0.9951079342771335,111311.0
accuracy,0.9967268981295705,0.9967268981295705,0.9967268981295705,333934.0
macro avg,0.9954474521877423,0.997217265710101,0.9963243436755961,333934.0
weighted avg,0.9967455807692461,0.9967268981295705,0.9967298159035263,333934.0
